product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
ColdBrew,https://onyxcoffeelab.com/products/cold-brew,Colombia,Washed,Moderate,85,410.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Cold Brew,,Cocoa Dates Brown Sugar Stone Fruit Creamy,"COCOA, DATES, BROWN SUGAR, STONE FRUIT, CREAMY","chocolate, caramel, sweet, fruity, body",93675,Nov 7,424.2,14,859,14.316666666666666,860,424.2,412.2,162.1,424.2,162.1,96
ColombiaAponteVillageHoney,https://onyxcoffeelab.com/products/colombia-aponte-village-honey-25,Colombia,Red Honey,Expressive Light,127,395.0,Field Blend,,,,Raised-Bed Dried,April,Loring S70 Peregrine,Filter & Espresso,,Rainier Cherry Butterscotch Green Apple Papaya,"RAINIER CHERRY, BUTTERSCOTCH, GREEN APPLE, PAPAYA","fruity, caramel",93716,Yesterday at 10:31 am,425.5,10,608,10.133333333333333,609,425.5,401.6,146.6,426.0,146.6,43
ColombiaBrayanAlvearMelonCo-Ferment,https://onyxcoffeelab.com/products/colombia-brayan-alvear-melon-co-ferment,Colombia,Innoculated,Expressive Light,125,395.0,Caturra,,,,Patio Dried,October '24,Diedrich CR-35,Filter & Espresso,,Watermelon Powdery Candy Pineapple Green Apple,"WATERMELON, POWDERY CANDY, PINEAPPLE, GREEN APPLE",fruity,93208,Oct 30,419.5,12,711,11.85,712,419.5,401.0,167.2,419.5,167.2,71
ColombiaLaRivieraNitroWatermelon,https://onyxcoffeelab.com/products/colombia-julio-madrid-nitro-watermelon-25,Colombia,"Anaerobic Washed, Innoculated",Expressive Light,125,395.0,Caturra,,,,Raised-Bed Dried,May,Diedrich CR-35,Filter & Espresso & Cold Brew,,Watermelon Raspberry Green Apple Rose,"WATERMELON, RASPBERRY, GREEN APPLE, ROSE","fruity, floral",93627,Nov 7,411.8,12,723,12.05,724,411.8,401.4,166.8,411.8,166.8,72
ColombiaTioConejoGeshaNatural,https://onyxcoffeelab.com/products/colombia-tio-conejo-gesha-natural-25,Colombia,Natural,Expressive Light,120,395.0,Gesha,,,,Raised-Bed Dried,March,Diedrich CR-35,Filter & Espresso,,Raspberry Vanilla Dried Cranberry Jasmine,"RASPBERRY, VANILLA, DRIED CRANBERRY, JASMINE","fruity, sweet, floral",93639,Nov 7,411.8,11,673,11.216666666666667,674,411.8,399.7,162.1,411.8,162.1,67
CostaRicaLasLajasNatural,https://onyxcoffeelab.com/products/costa-rica-las-lajas-natural-25,Costa Rica,Natural,Expressive Light,124,395.0,Catuai,,,,Patio DriedRaised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Cherry Milk Chocolate Concord Grape Honey,"CHERRY, MILK CHOCOLATE, CONCORD GRAPE, HONEY","fruity, chocolate, sweet",93666,Nov 7,413.1,12,700,11.666666666666666,701,413.1,399.9,159.6,413.1,159.6,69
DecafColombiaInzáSanAntonio,https://onyxcoffeelab.com/products/decaf-colombia-inza-san-antonio,Colombia,Washed,Moderate,99,410.0,"Caturra, Bourbon",,,,Raised-Bed Dried,February '24,Loring S70 Peregrine,Filter & Espresso,24.0,Red Apple Raw Sugar Pear Maple,"RED APPLE, RAW SUGAR, PEAR, MAPLE","fruity, sweet",93715,Yesterday at 8:47 am,425.4,10,588,9.8,589,425.4,414.1,133.7,425.4,133.7,42
Eclipse,https://onyxcoffeelab.com/products/eclipse,Colombia,Washed,Dark,62,415.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-35,Filter,262.0,Baker's Chocolate Burnt Sugar Smoked Vanilla Bean,"BAKER'S CHOCOLATE, BURNT SUGAR, SMOKED VANILLA BEAN","chocolate, sweet",93684,Nov 7,439.2,15,878,14.633333333333333,879,439.2,428.2,163.8,439.2,163.8,99
EthiopiaBochesaNatural,https://onyxcoffeelab.com/products/ethiopia-bochesa-natural,Ethiopia,Natural,Light,128,395.0,Landrace,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Tangerine Honey Pastry Plum Vanilla,"TANGERINE, HONEY PASTRY, PLUM, VANILLA","citrus, sweet, fruity",93634,Nov 7,418.1,11,658,10.966666666666667,659,418.1,399.6,159.6,418.1,159.6,71
EthiopiaGattaHoney,https://onyxcoffeelab.com/products/ethiopia-gatta-honey,Ethiopia,White Honey,Expressive Light,130,395.0,Landrace,,,,Raised-Bed Dried,March,Loring S70 Peregrine,Filter,,Apricot Honey Sweet Tea Yellow Pear,"APRICOT, HONEY, SWEET TEA, YELLOW PEAR","fruity, sweet, tea",93636,Nov 7,414.7,11,654,10.9,655,414.7,397.9,162.9,414.7,162.9,69
EthiopiaGeraEstateAnaerobic,https://onyxcoffeelab.com/products/ethiopia-gera-estate-anaerobic,Ethiopia,Anaerobic Natural,Expressive Light,127,395.0,Landrace,,,,Raised-Bed Dried,October,Diedrich CR-35,Filter & Espresso,,Raspberry Magnolia Watermelon Vanilla,"RASPBERRY, MAGNOLIA, WATERMELON, VANILLA","fruity, sweet",93643,Nov 7,416.5,12,692,11.533333333333333,693,416.5,402.6,161.1,416.5,161.1,71
Geometry,https://onyxcoffeelab.com/products/geometry,"Colombia, Ethiopia",Washed,Expressive Light,135,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Berries Stone Fruit Earl Grey Honeysuckle Round,"BERRIES, STONE FRUIT, EARL GREY, HONEYSUCKLE, ROUND","fruity, tea, floral, sweet, body",93710,Yesterday at 7:35 am,422.7,9,562,9.366666666666667,563,422.7,403.4,143.7,422.7,143.7,42
GuatemalaFincaLibanoGesha,https://onyxcoffeelab.com/products/guatemala-finca-libano-gesha,Guatemala,Washed,Expressive Moderate,130,395.0,Gesha,,,,Raised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Raw Sugar Oolong Tea Peach Jasmine,"RAW SUGAR, OOLONG TEA, PEACH, JASMINE","sweet, tea, fruity, floral",93620,Nov 7,417.2,11,636,10.6,637,417.2,399.4,165.2,417.2,165.2,71
IndiaKerehakluEstate,https://onyxcoffeelab.com/products/india-kerehaklu-estate,India,Culture-Innoculated Washed,Expressive Light,129,395.0,Sarchimore,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter,,Pear Herbal Tea Cashew Clove,"PEAR, HERBAL TEA, CASHEW, CLOVE","tea, herbal, spice",93578,Nov 6,412.5,10,612,10.2,613,412.5,397.6,166.3,412.5,166.3,69
KenyaKibingoEstate,https://onyxcoffeelab.com/products/kenya-kibingo-estate,Kenya,Dry Washed,Expressive Light,128,395.0,"SL28, SL34",,,,Raised-Bed Dried,November,Diedrich CR-35,Filter & Espresso,,Blackberry Sweet Lemon Black Cherry Yellow Pear,"BLACKBERRY, SWEET LEMON, BLACK CHERRY, YELLOW PEAR","fruity, citrus, sweet",93647,Nov 7,411.1,10,614,10.233333333333333,615,411.1,398.5,161.2,411.1,161.2,74
Monarch,https://onyxcoffeelab.com/products/monarch,"Colombia, Ethiopia",Washed,Expressive Dark,99,410.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Espresso,230.0,Dark Chocolate Molasses Red Wine Dried Berries Thick & Syrupy,"DARK CHOCOLATE, MOLASSES, RED WINE, DRIED BERRIES, THICK & SYRUPY","chocolate, caramel, fruity, body",93707,Nov 7,448.5,12,745,12.416666666666666,746,448.5,413.4,168.1,448.5,168.1,98
PowerNap,https://onyxcoffeelab.com/products/power-nap,"Colombia, Ethiopia",Washed,Light,101,405.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,129.0,Brown Sugar Cocoa Silky Floral Peach,"BROWN SUGAR, COCOA, SILKY, FLORAL, PEACH","caramel, sweet, chocolate, body, floral, fruity",93713,Yesterday at 8:19 am,428.8,10,581,9.683333333333334,582,428.8,407.9,141.2,428.8,141.2,43
SebastianRamirezWhiteHoneyGesha,https://onyxcoffeelab.com/products/sebastian-ramirez-white-honey-gesha,Colombia,White Honey,Expressive Light,120,395.0,Gesha,,,,Patio Dried,January,Diedrich CR-35,Filter & Espresso,,Jasmine Pineapple Lime Manuka Honey,"JASMINE, PINEAPPLE, LIME, MANUKA HONEY","floral, fruity, citrus, sweet",93617,Nov 7,420.4,12,716,11.933333333333334,717,420.4,403.5,165.0,420.4,165.0,73
SouthernWeather,https://onyxcoffeelab.com/products/southern-weather,"Honduras, Colombia, Ethiopia",Washed,Light,123,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,244.0,Milk Chocolate Plum Candied Walnuts Juicy & Citrus Finish,"MILK CHOCOLATE, PLUM, CANDIED WALNUTS, JUICY & CITRUS FINISH","chocolate, fruity, nutty, citrus",93725,Yesterday at 12:51 pm,472.8,11,648,10.8,649,472.8,405.7,159.2,472.9,159.2,45
TropicalWeather,https://onyxcoffeelab.com/products/tropical-weather,Ethiopia,"Washed, Natural",Expressive Light,126,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Mixed Berries Sweet Tea Raw Honey Plum,"MIXED BERRIES, SWEET TEA, RAW HONEY, PLUM","fruity, tea, sweet",93712,Yesterday at 8:01 am,472,10,582,9.7,583,472.0,403.1,154.9,472.0,154.9,40
